name,url
Lonely deaths in Tokyo,https://www.fukushihoken.metro.tokyo.lg.jp/kansatsu/kodokushitoukei/index.html
Furusato Nouzei Homepage,https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/furusato/archive/
National Police Stats,https://www.npa.go.jp/publications/statistics/sousa/statistics.html
Local Adjustment Tax Homepage,https://www.soumu.go.jp/main_sosiki/c-zaisei/kouhu.html
Tokyo Governor Expense Data,https://www.metro.tokyo.lg.jp/tosei/governor/governor/kosaihi/index.html
